",stars,ratings,discounts,prices,brand,energy_rating,capacity,max_spin_speed"
"74,4.3,""14,730 Ratings "",37% off,""â‚¹8,990"",Voltas Beko,5,7 kg,1350 rpm"
"75,4.1,536 Ratings ,44% off,""â‚¹32,751"",Godrej,5,9 kg,1400 rpm"
"76,4.3,""12,467 Ratings "",32% off,""â‚¹27,990"",Panasonic,5,10 kg,702 rpm"
"77,4.3,""32,615 Ratings "",45% off,""â‚¹14,190"",Haier,5,7 kg,800 rpm"
"78,4.2,""76,447 Ratings "",44% off,""â‚¹9,690"",realme TechLife,5,8 kg,1400 RPM"
"79,4.4,39 Ratings ,23% off,""â‚¹33,990"",Whirlpool,5,8 kg,1400 RPM"
"80,4,231 Ratings ,39% off,""â‚¹16,990"",Godrej,5,7.5 Kg,750 rpm"
"81,4.1,524 Ratings ,,""â‚¹9,200"",FOXSKY,5,11 kg,1500 rpm"
"82,4,""1,897 Ratings "",37% off,""â‚¹4,990"",Thomson,7 kg,Pulsator,No"
"83,4.3,""21,423 Ratings "",25% off,""â‚¹16,590"",IFB,5,6.5 kg,720 RPM"
"84,4.3,""86,950 Ratings "",25% off,""â‚¹44,690"",IFB,5,9 kg,1400 RPM"
"85,4.1,""29,772 Ratings "",22% off,""â‚¹16,290"",Whirlpool,5,6.5 kg,740 rpm"
"86,4.2,""1,008 Ratings "",62% off,""â‚¹6,789"",InnoQ,5,7 kg,1500 rpm"
"87,4.5,""9,033 Ratings "",27% off,""â‚¹14,490"",LG,5,8.5 kg,1300 rpm"
"88,4.2,""2,527 Ratings "",39% off,""â‚¹30,990"",BOSCH,5,7 kg,1200 RPM"
"89,4.2,""1,008 Ratings "",62% off,""â‚¹6,790"",InnoQ,5,7 kg,1500 rpm"
"90,4.1,995 Ratings ,21% off,""â‚¹30,990"",Whirlpool,5,8 kg,1400 RPM"
"91,4.3,""14,730 Ratings "",46% off,""â‚¹9,590"",Voltas Beko,5,7.5 kg,1350 rpm"
"92,4.1,""1,172 Ratings "",45% off,""â‚¹12,990"",Voltas Beko,5,6.5 kg,700 rpm"
"93,4.1,""19,754 Ratings "",27% off,""â‚¹7,590"",Thomson,5,7 kg,1400 rpm"
"94,4.3,""32,615 Ratings "",45% off,""â‚¹16,490"",Haier,5,8 kg,800 rpm"
